A,0,0,55
A,0,1,75
A,0,2,0
A,0,3,59
A,0,4,11
A,0,5,86
A,0,6,19
A,0,7,74
A,0,8,23
A,0,9,1
A,0,10,6
A,0,11,12
A,0,12,34
A,0,13,13
A,0,14,90
A,0,15,48
A,0,16,92
A,0,17,52
A,0,18,73
A,0,19,46
A,0,20,63
A,0,21,43
A,0,22,52
A,0,23,58
A,0,24,84
A,0,25,41
A,0,26,35
A,0,27,91
A,0,28,44
A,0,29,6
A,0,30,3
A,0,31,74
A,0,32,7
A,0,33,36
A,0,34,27
A,0,35,38
A,0,36,90
A,0,37,47
A,0,38,79
A,0,39,88
A,0,40,43
A,0,41,31
A,0,42,18
A,0,43,45
A,0,44,60
A,0,45,44
A,0,46,89
A,0,47,14
A,0,48,93
A,0,49,11
A,0,50,27
A,0,51,75
A,0,52,61
A,0,53,87
A,0,54,78
A,0,55,4
A,0,56,63
A,0,57,58
A,0,58,59
A,0,59,89
A,0,60,47
A,0,61,50
A,0,62,6
A,0,63,31
A,0,64,95
A,0,65,24
A,0,66,70
A,0,67,69
A,0,68,99
A,0,69,98
A,0,70,55
A,0,71,82
A,0,72,76
A,0,73,42
A,0,74,34
A,0,75,10
A,0,76,31
A,0,77,99
A,0,78,29
A,0,79,0
A,0,80,39
A,0,81,84
A,0,82,87
A,0,83,50
A,0,84,19
A,0,85,88
A,0,86,51
A,0,87,84
A,0,88,28
A,0,89,22
A,1,0,1
A,1,1,93
A,1,2,30
A,1,3,68
A,1,4,70
A,1,5,12
A,1,6,71
A,1,7,86
A,1,8,7
A,1,9,55
A,1,10,54
A,1,11,28
A,1,12,67
A,1,13,69
A,1,14,65
A,1,15,99
A,1,16,68
A,1,17,30
A,1,18,13
A,1,19,98
A,1,20,7
A,1,21,18
A,1,22,0
A,1,23,3
A,1,24,78
A,1,25,43
A,1,26,63
A,1,27,16
A,1,28,10
A,1,29,7
A,1,30,14
A,1,31,6
A,1,32,17
A,1,33,64
A,1,34,99
A,1,35,18
A,1,36,68
A,1,37,2
A,1,38,66
A,1,39,69
A,1,40,5
A,1,41,15
A,1,42,81
A,1,43,31
A,1,44,80
A,1,45,40
A,1,46,38
A,1,47,76
A,1,48,51
A,1,49,21
A,1,50,40
A,1,51,13
A,1,52,35
A,1,53,96
A,1,54,33
A,1,55,94
A,1,56,88
A,1,57,69
A,1,58,24
A,1,59,1
A,1,60,80
A,1,61,71
A,1,62,46
A,1,63,67
A,1,64,47
A,1,65,78
A,1,66,55
A,1,67,36
A,1,68,71
A,1,69,53
A,1,70,5
A,1,71,68
A,1,72,62
A,1,73,16
A,1,74,4
A,1,75,11
